# Korean line of data/*.xml and data/lua/*.lua <TAB> English line. Applied by data_apply.pl.
\t\t<Title>진화의 고리</Title>	\t\t<Title>Ring of Evolution</Title>
\t\t<FailMessage sender="브리콜라카스" target="92">도대체 뭘 하고 있는 건가? 그런 식으로는 버러지 같은 인간 녀석들의 사냥감이 되기 딱이겠군…</FailMessage>	\t\t<FailMessage sender="Vrykolakas" target="92">What on earth are you doing? At this rate you will make fine prey for those worms of humans...</FailMessage>
\t\t\t<Time limit="30" index="1">%s남은 시간 : %d분</Time>	\t\t\t<Time limit="30" index="1">%sTime left: %d min</Time>
\t\t<Title>뱀파이어로의 자각</Title>	\t\t<Title>Awakening as a Vampire</Title>
\t\t<Script sender="레베카">어린 뱀파이어여! 어째서 아직까지 피의 유혹을 거부하는 거죠? 	\t\t<Script sender="Rebecca">Young vampire! Why do you still resist the temptation of blood?
머리 속에 틀어박힌 하찮은 인간들의 윤리란 것이 신경 쓰이는 것인가요? 스스로가 원해서 인간 이길 포기한 주제에 아직까지 그런 것에 신경을 쓰고 있다니 우스운 일이군요. 하찮은 인간세상의 기억은 쓸모없는 것이죠. 우리 일족의 강대한 힘은 그냥 생겨나는 것이 아닙니다. 생명의 근원인 피를 통해 우리의 힘은 더욱 강해지는 것입니다. 강해지기 위해서라면 피를 마셔야 합니다.</Script>	Do the trifling ethics of humans lodged in your head still trouble you? How amusing that you still care about such things when you gave up being human of your own will. Memories of the petty human world are worthless. The mighty power of our kind does not simply come into being. Our power grows ever stronger through blood, the source of life. If you wish to grow strong, you must drink blood.</Script>
\t\t<CompleteMessage sender="레베카" target="255">이제 제법 흡혈에 익숙해졌나요? 이후에도 전투 중엔 항상 흡혈을 염두에 두어야 할 것입니다. 이제 마을의 카콘에게 맡겨둔 물건을 받도록 하십시오.</CompleteMessage>	\t\t<CompleteMessage sender="Rebecca" target="255">Have you grown used to Blood Drain now? From now on you must always keep Blood Drain in mind in battle. Now go and collect the item I left with Kakon in the village.</CompleteMessage>
\t\t\t<BloodDrain num="20" index="1">%s흡혈 회수 : %d / 20회</BloodDrain>	\t\t\t<BloodDrain num="20" index="1">%sBlood Drains: %d / 20</BloodDrain>
\t\t<FailMessage sender="레베카" target="255">숙명을 거부하겠다는 건가요? 뭐, 좋겠죠… 잿더미로 변한 후에 후회해도 소용없을 겁니다. 흐흠~</FailMessage>	\t\t<FailMessage sender="Rebecca" target="255">So you refuse your destiny? Well, fine... Regret will do you no good once you have turned to ash. Hmph.</FailMessage>
\t\t\t<Time limit="15" index="1">%s남은 시간 : %d분</Time>	\t\t\t<Time limit="15" index="1">%sTime left: %d min</Time>
\t\t<Title>라르바를 설득하라.</Title>	\t\t<Title>Persuade Larva.</Title>
\t\t<Script sender="브리콜라카스">점점 일족으로서 성장해 나가는 자네를 마스터께서는 아주 흡족하게 생각하고 계신다네. 물론 앞으로도 기대를 저버리는 모습을 보여주진 않을거라 믿고 계시지. 하지만 가끔 어리석은 녀석들이 발견되기도 하네. 일족의 우수한 힘을 얻고도 인간이었을 때를 잊지 못하는 녀석들이지. 라르바라는 녀석이 그런 녀석들을 도와주고 있기 때문에 이런 일이 생기는 게야. 마스터께서는 무슨 생각으로 그 녀석을 내치지 않으시는지 모르겠어. 물론 라르바의 마력은 무시할 수 없는 것이긴 해. 그 자가 힘을 보태준다면 일족의 힘도 더욱 커질 텐데 말이야. 어떤가? 자네가 라르바를 한번 설득해보지 않겠나? 내 편지를 줄 테니 그와 얘기를 한번 해보게.</Script>	\t\t<Script sender="Vrykolakas">The Master is most pleased to see you growing as one of our kin. Naturally, the Master trusts you will not disappoint in the future either. But every so often we find a few fools. Fools who gain the superior power of our kin, yet cannot forget the days when they were human. This happens because a fellow named Larva helps them. I do not know what the Master is thinking, keeping him around. Granted, Larva's magic power is not to be taken lightly. If he lent us his strength, our kin would grow mightier still. What do you say? Will you try to persuade Larva? I will give you a letter; go and have a word with him.</Script>
\t\t\t<SayNPC name="브리콜라카스" target="92" index="1">브리콜라카스에게서 편지를 받는다</SayNPC>	\t\t\t<SayNPC name="Vrykolakas" target="92" index="1">Receive a letter from Vrykolakas</SayNPC>
\t\t\t<SayNPC name="라르바" target="368" index="2">라르바에게 편지를 전한다.</SayNPC>	\t\t\t<SayNPC name="Larva" target="368" index="2">Deliver the letter to Larva.</SayNPC>
\t\t\t<Message index="3">브리콜라카스의 편지를 전하고 설득을 해보았지만 어째서인지 라르바는 말없이 고개를 저을 뿐이다. 라르바는 품 속에서 자신의 편지를 꺼내주며 브리콜라카스에게 전해 주라고 할 뿐이다.</Message>	\t\t\t<Message index="3">You delivered Vrykolakas' letter and tried to persuade him, but for some reason Larva only shakes his head in silence. He simply takes a letter of his own from inside his coat and asks you to give it to Vrykolakas.</Message>
\t\t\t<SayNPC name="브리콜라카스" target="92" index="4">브리콜라카스에게 편지를 전한다.</SayNPC>	\t\t\t<SayNPC name="Vrykolakas" target="92" index="4">Deliver the letter to Vrykolakas.</SayNPC>
\t\t\t<Script sender="브리콜라카스" target="92" index="5">이거 참, 무슨 배짱으로 이런 결정을 내리는 지 알 수가 없군. 이런 식이라면 언젠가는 마스터님의 분노를 살 터인데… 음, 아무튼 수고했네. 앞으로도 계속 마스터에게 충실히 봉사할 수 있도록 하게.</Script>	\t\t\t<Script sender="Vrykolakas" target="92" index="5">Well, well. I cannot fathom what nerve it takes to make such a decision. At this rate he will draw the Master's wrath one day... Hmm, in any case, well done. See that you keep serving the Master faithfully.</Script>
\t\t<FailMessage sender="브리콜라카스" target="92">너무 무리할 필요는 없네. 내가 자네를 너무 과대 평가한 모양이군.</FailMessage>	\t\t<FailMessage sender="Vrykolakas" target="92">There is no need to push yourself. It seems I overestimated you.</FailMessage>
\t\t\t<Killed num="1" index="1">전달하는 과정에서 죽지 않아야 한다.</Killed>	\t\t\t<Killed num="1" index="1">Do not die while delivering the letter.</Killed>
\t\t<Title>순종적 동물</Title>	\t\t<Title>Obedient Beasts</Title>
\t\t<Script sender="카콘" target="220">하등한 존재인 주제에 반항만 하는 인간들에 비해 다른 동물들은 순종적이지. 물론 그렇다고 해서 다들 쓸모가 있는 건 아니야. 이 곳 에슬라니아 지방에는 예전부터 들개들이 번식하고 있었는데 이것들을 잘만 길들이면 꽤나 편리하지. 인간들도 이 녀석들을 이용한다고 하더군. 처음엔 길들이기 번거롭지만 쓸 만 할거야. 이 녀석들은 고기덩어리를 좋아한다니까 준비하는 걸 잊지 말게나.</Script>	\t\t<Script sender="Kakon" target="220">Unlike humans, who are lowly creatures yet do nothing but rebel, other animals are obedient. Not that every one of them is useful, of course. Wild dogs have been breeding here in Eslania since long ago, and if you tame them well they are rather handy. I hear even the humans make use of them. Taming them is a chore at first, but they will be worth it. They say these beasts love chunks of meat, so do not forget to bring some.</Script>
\t\t<CompleteMessage sender="카콘" target="220">지금 당장은 썩 쓸모있어 보이진 않겠지만 꾸준히 키우면 꽤 볼품이 있지. 잘만하면 자네의 능력에도 영향을 주기도 하지만 어디까지나 운이 꽤 좋아야 하네. 하지만 혹시라도 고약한 병에 걸린 녀석일지도 모르지. 림보성의 카파티니에게 보여주면 잘 살펴봐줄거야.</CompleteMessage>	\t\t<CompleteMessage sender="Kakon" target="220">It may not look like much use right now, but raise it steadily and it becomes quite a sight. With a bit of luck it can even boost your own abilities, though you will need to be rather lucky indeed. Then again, it might be carrying some nasty disease. Show it to Carpatini at Limbo Castle and he will take a good look at it.</CompleteMessage>
\t\t\t<TamePet num="1" index="1">주니어울프아크를 길들여 울프독을 구한다.</TamePet>	\t\t\t<TamePet num="1" index="1">Tame a Junior WolfArch to get a Wolfdog.</TamePet>
\t\t<FailMessage sender="카콘" target="220">크크크, 하찮은 동물 하나 길들이지 못하다니 정말 딱하군… 어디 그래가지고 여기서 살아남기나 하겠나?</FailMessage>	\t\t<FailMessage sender="Kakon" target="220">Heh heh heh, you cannot even tame one measly animal? How pathetic... How do you expect to survive out here like that?</FailMessage>
\t\t\t<Time limit="20" index="1">%s남은 시간 : %d분</Time>	\t\t\t<Time limit="20" index="1">%sTime left: %d min</Time>
\t\t<Title>살아 남기 위한 훈련이다.</Title>	\t\t<Title>Training to Survive</Title>
\t\t<Script sender="카이저">자네가 이번에 편입된 신병인가? 이런, 아무리 전황이 급하다 하더라도 훈련조차 시키지 않은 병사를 보내다니 본부도 급한 모양이군. 지금 그 상태로 사령부 밖으로 보내봐야 뱀파이어에게 식사 거리를 주는 것 밖에는 안될 테지. 좋다, 특별히 부대내의 특설 훈련장에서 하드 트레이닝을 시켜주지. 지금 바로 타냐에게 훈련장 안내를 받도록 하라. 주특기 교육은 그 이후에 진행될 것이다.</Script>	\t\t<Script sender="Kaiser">So you are the new recruit just assigned to us? Good grief, HQ must be desperate, sending out soldiers without so much as basic training, however urgent the situation. Send you outside the Field Headquarters as you are and you would be nothing but a meal for the vampires. Very well, I will put you through hard training at the special training grounds on base. Report to Tanya right now for a tour of the training grounds. Your specialty training will follow after that.</Script>
\t\t<CompleteMessage sender="카이저" target="17">꽤나 열심히 하고 있군. 좋아, 현시간부로 귀관의 주특기 교육을 실시하겠다. 지금 바로 집합한다.</CompleteMessage>	\t\t<CompleteMessage sender="Kaiser" target="17">You are working quite hard. Good. As of now, your specialty training begins. Fall in immediately.</CompleteMessage>
\t\t\t<Level min="5" index="1">레벨 5 이상 달성</Level>	\t\t\t<Level min="5" index="1">Reach level 5 or higher</Level>
\t\t<FailMessage sender="테리" target="302">이거, 또 한 명의 고문관이 탄생하셨군. 그렇게 어리버리 하다가는 앞으로 자크 교관에게 꽤나 괴롭힘 당할게 뻔하다구요. 정 힘들면 나한테 보급품를 사는 것도 좋구요. 하하하.</FailMessage>	\t\t<FailMessage sender="Terry" target="302">Well, look at that, another sad sack is born. Keep fumbling around like that and Instructor Jacques is sure to give you a hard time. If it gets too tough, you could always buy some supplies from me. Hahaha.</FailMessage>
\t\t\t<Time limit="50" index="1">%s남은 시간 : %d분</Time>	\t\t\t<Time limit="50" index="1">%sTime left: %d min</Time>
\t\t<Title>훈련에 끝은 존재하지 않는다.</Title>	\t\t<Title>Training Never Ends</Title>
\t\t<Script sender="자크">이봐 신병! 이제야 겨우 스킬을 하나 배울 수 있는 수준이 되었군. 스킬은 잘만 사용하면 전투를 쉽게 이끌 수 있지. 더구나 스킬을 자주 사용함으로서 빠르게 성장하는 것이 가능하네. 한번 자네의 실력을 보고 싶군. 무슨 스킬이든 좋으니 XX레벨까지 올려보도록 해.</Script>	\t\t<Script sender="Jacques">Hey, recruit! So you have finally reached the point where you can learn a skill. Used well, skills can make a battle go your way with ease. What is more, using skills often lets you grow quickly. I want to see what you can do. Pick any skill you like and raise it to level XX.</Script>
\t\t<CompleteMessage sender="자크" target="16">흠, 생각보다는 괜찮은 실력이군. 앞으로도 충분히 제 구실을 해낼 가능성이 있어 보이네. 지급받은 보급표를 가지고 낸시에게 가면 보급품을 받을 수 있을거야.</CompleteMessage>	\t\t<CompleteMessage sender="Jacques" target="16">Hmm, you are better than I expected. Looks like you might pull your own weight after all. Take the Supply Ticket you were issued to Nancy and she will give you your supplies.</CompleteMessage>
\t\t\t<SkillLevel min="3" index="1">스킬레벨 3 이상 달성</SkillLevel>	\t\t\t<SkillLevel min="3" index="1">Raise a skill to level 3 or higher</SkillLevel>
\t\t<FailMessage sender="자크" target="16">이봐 자네… 도대체 뭘 하고 있는 건가, 우리가 상대하는 것이 가만히 서있는 허수아비인 줄 아나? 여기는 놀이공원이 아니란 말이야. 정신 똑바로 차리는 게 좋아!</FailMessage>	\t\t<FailMessage sender="Jacques" target="16">Hey, you... What on earth are you doing? Do you think the things we fight are scarecrows standing still? This is no amusement park. You had better get your head straight!</FailMessage>
\t\t\t<SayNPC name="낸시" target="303" index="1">보급표를 가지고 낸시에게 가서 보급품을 받는다</SayNPC>	\t\t\t<SayNPC name="Nancy" target="303" index="1">Take the Supply Ticket to Nancy and receive your supplies</SayNPC>
\t\t\t<Message index="2">보급품을 받았습니다.</Message>	\t\t\t<Message index="2">You received your supplies.</Message>
\t\t<Title>첩보 자료의 회수</Title>	\t\t<Title>Recovering the Intel</Title>
\t\t<Script sender="카이저">아군의 수색부대는 지속적으로 뱀파이어의 본거지에 대한 첩보를 진행해 왔다. 그런데 최근 페로나 국도 북서에 위치한 뱀파이어들의 거점을 조사하던 대원으로부터 통신이 두절되는 사건이 발생했다. 아마도 사살된 것이 확실하지만 그가 수집한 자료는 회수되어야 한다. 적의 거점과 가깝기 때문에 각별한 주위가 필요할 것이다. 확인된 그의 마지막 발신지는 에슬라니아 북서 좌표 67, 58 지점이다. 아! 오토바이의 소음은 뱀파이어들의 주의를 끌 수 있으니 이번 임무에서 오토바이의 사용은 금하도록 하겠다.</Script>	\t\t<Script sender="Kaiser">Our reconnaissance units have been gathering intelligence on the vampires' strongholds for some time. Recently, however, we lost contact with an agent who was investigating a vampire base northwest of the Perona Highway. He was almost certainly killed, but the data he gathered must be recovered. It is close to an enemy base, so exercise extreme caution. His last confirmed transmission came from Eslania Northwest, coordinates 67, 58. Ah! Motorcycle noise can draw the vampires' attention, so the use of motorcycles is forbidden on this mission.</Script>
\t\t\t<TouchWayPoint zoneid="12" x="67" y="58" type="636" dir="1" index="1">데이터 디스크 회수</TouchWayPoint>	\t\t\t<TouchWayPoint zoneid="12" x="67" y="58" type="636" dir="1" index="1">Recover the Data Disk</TouchWayPoint>
\t\t\t<Message sender="카이저" target="17" index="2">역시 사살된 것인가? 그나마 뱀파이어가 되지 않은 것이 다행이로군… 데이터를 얻었다면 바로 철수해 타냐에게 전달하도록 한다.</Message>	\t\t\t<Message sender="Kaiser" target="17" index="2">So he was killed after all? At least he did not become a vampire... If you have the data, withdraw at once and deliver it to Tanya.</Message>
\t\t\t<SayNPC name="타냐" target="26" index="3">타냐에게 디스크 전달</SayNPC>	\t\t\t<SayNPC name="Tanya" target="26" index="3">Deliver the disk to Tanya</SayNPC>
\t\t\t<Message sender="카이저" target="17" index="2">좋아, 무사히 귀환했군. 수고했네. 그럼 다음 임무까지 개인정비를 실시하게. </Message>	\t\t\t<Message sender="Kaiser" target="17" index="2">Good, you made it back safely. Well done. Take some personal time until your next mission.</Message>
\t\t<FailMessage sender="카이저" target="17">정보의 회수 같은 중요한 임무를 자네 같은 신출내기에게 맞긴 게 잘못이군. 임무 실패에 따른 문책은 하지 않겠다. 음… 상부로부터 내가 문책을 받게 생겼군.</FailMessage>	\t\t<FailMessage sender="Kaiser" target="17">It was a mistake to trust a greenhorn like you with a mission as important as recovering intel. You will not be disciplined for failing the mission. Hmm... Looks like I am the one who will be disciplined by the top brass.</FailMessage>
\t\t\t<RideMotorcycle index="2">오토바이 사용 금지.</RideMotorcycle>	\t\t\t<RideMotorcycle index="2">Motorcycles are forbidden.</RideMotorcycle>
\t\t<Title>군견 훈련 지침</Title>	\t\t<Title>War Dog Training Orders</Title>
\t\t<Script sender="스미스">에슬라니아에 서식하는 야생 들개들은 훈련을 통해서 군견으로서 활용할 수 있는 것으로 보고되고 있다. 분명 군견이 있다면 작전 수행에 도움이 될 것이다. 귀관은 지금부터 군견 양성 임무를 수행하도록 한다. 우선은 들개를 포획하는 것이 우선일 테지. 들개들은 고기를 꽤 좋아할 테니 준비를 잊지 말도록. 이상.</Script>	\t\t<Script sender="Smith">It has been reported that the wild dogs living in Eslania can be trained for use as war dogs. War dogs would surely be a help in carrying out operations. As of now, you are assigned to raise war dogs. Your first task, naturally, is to capture a wild dog. They should be quite fond of meat, so do not forget to bring some. That is all.</Script>
\t\t<CompleteMessage sender="스미스" target="103">들개의 포획에 성공했군. 우선은 군견 적합성 검사를 해야 하니 부대로 귀환하도록. 부대의 테리가 검사를 시행할 것이다.</CompleteMessage>	\t\t<CompleteMessage sender="Smith" target="103">So you captured a wild dog. First it needs a war dog aptitude test, so return to base. Terry will conduct the test.</CompleteMessage>
\t\t\t<TamePet num="1" index="1">개의 조련.</TamePet>	\t\t\t<TamePet num="1" index="1">Tame a dog.</TamePet>
\t\t<FailMessage sender="스미스" target="103">그까짓 들개하나 포획을 못해서야 어디 뱀파이어를 잡기나 하겠나. 이런 쉬운 임무도 수행 못하면서 어떻게 EVE 대원이 되었는지 궁금하군.</FailMessage>	\t\t<FailMessage sender="Smith" target="103">If you cannot even capture one lousy wild dog, how will you ever catch a vampire? I wonder how you became an EVE agent when you cannot carry out a mission this easy.</FailMessage>
\t\t<Title>당신의 힘을 되찾으십시오.</Title>	\t\t<Title>Reclaim Your Power</Title>
\t\t<Script sender="마네스쿠">거룩한 자연의 영광이 늘 함께 하시길. 반갑습니다, 동지여. 뱀파이어의 난립으로 당신의 달콤한 잠이 깨어졌군요. 하지만 아직 당신의 힘이 미약함이 느껴집니다. 마을 밖의 파괴자들을 상대하려면 오랜 수면과 함께 잠들어버린 당신의 힘을 일깨울 시간이 필요할 것 같군요. 다행스럽게도 카리사스님의 결계력이 마을 안으로 연결된 하니알 던전 1층까지 유효한 상태입니다. 하지만 가끔 미약한 존재들이 이곳에 나타나곤 한답니다. 이들을 상대로 당신의 힘을 조금씩 개방시킬 수 있을 겁니다. 자, 시간이 없습니다. 한시라도 빨리 힘을 되찾아야 합니다.</Script>	\t\t<Script sender="Manescu">May the glory of holy nature be with you always. Welcome, comrade. The rampant vampires have broken your sweet slumber. Yet I sense that your power is still weak. To face the destroyers outside the village, you will need time to reawaken the power that fell asleep with you during your long slumber. Fortunately, Lady Carissas' barrier still holds as far as the first floor of the Hanial Dungeon, which connects to the village. Even so, weak creatures appear there from time to time. By fighting them you can release your power little by little. Now, there is no time to lose. You must reclaim your power as quickly as you can.</Script>
\t\t<CompleteMessage sender="마네스쿠" target="655">당신의 힘이 일부 개방된 것이 느껴집니다. 이로서 우리의 힘은 좀 더 커질 것입니다. 마을의 라비니아님께 도움을 받을 수 있을 것입니다.</CompleteMessage>	\t\t<CompleteMessage sender="Manescu" target="655">I can feel that part of your power has been released. With this, our strength will grow a little more. Lady Lavinia in the village will be able to help you.</CompleteMessage>
\t\t\t<Level min="6" index="1">레벨 6 달성</Level>	\t\t\t<Level min="6" index="1">Reach level 6</Level>
\t\t<FailMessage sender="라비니아" target="653">자연은 결코 태만하지 않습니다. 자연의 일부인 당신 역시 자연의 법칙을 따라야 할 것입니다. 좀더 분발해 주시길… </FailMessage>	\t\t<FailMessage sender="Lavinia" target="653">Nature is never idle. You, too, are a part of nature and must follow its laws. Please try a little harder... </FailMessage>
\t\t<Title>힘의 원천인 영혼</Title>	\t\t<Title>The Soul, Source of Power</Title>
\t\t<Script sender="라비니아">우리에게 인위적인 가르침은 의미가 없는 것입니다. 자연이 내려준 능력을 어떻게 발전시킬 것인가는 모두 스스로의 의지로 결정해야 합니다. 하지만 이 능력을 사용하기 위해 영혼의 힘이 필요함을 잊지 마십시오. 영혼의 힘이 고갈되지 않도록 유지하는 것이 기본임을 잊지 마십시오.</Script>	\t\t<Script sender="Lavinia">Artificial teaching means nothing to us. How to develop the abilities nature has granted you is something each of us must decide by our own will. But do not forget that using these abilities requires the power of the soul. Never forget that the basics are to keep the power of your soul from running dry.</Script>
\t\t<CompleteMessage sender="라비니아" target="653">힘의 개방을 위해 영의 흡수는 절대 잊어서는 안 되는 것입니다. 리파티에게 부탁해 앞으로의 여정에 조금이나마 도움이 될 것을 준비해두었습니다.</CompleteMessage>	\t\t<CompleteMessage sender="Lavinia" target="653">To release your power, you must never forget to absorb souls. I have asked Ripati to prepare something that should be of some help on your journey ahead.</CompleteMessage>
\t\t\t<BloodDrain num="20" index="1">%s흡영 회수 : %d / 20회</BloodDrain>	\t\t\t<BloodDrain num="20" index="1">%sAbsorb Soul: %d / 20 times</BloodDrain>
\t\t<FailMessage sender="라비니아" target="653">흡영을 귀찮거나 잔인한 일이라 생각하지 마십시오. 뱀파이어들의 정화를 위해 어쩔 수 없는 일입니다. 하지만 스스로 원치 않는다면 강요할 수는 없겠지요.</FailMessage>	\t\t<FailMessage sender="Lavinia" target="653">Do not think of Absorb Soul as a chore or a cruel act. It is unavoidable if the vampires are to be purified. Still, if you do not wish it yourself, I cannot force you.</FailMessage>
\t\t<Title>대지 오염의 위협</Title>	\t\t<Title>The Threat of a Poisoned Land</Title>
\t\t<Script sender="시오람">배척 받아왔던 우리 일족은 지금껏 자애로운 자연에 기대어 살아왔다네. 하지만 인간과 뱀파이어는 끊임없이 어머니의 대지를 오염시켜왔고 지금도 계속되고 있지. 더욱이 우리 은거지와 인접한 곳에 위치한 인간들의 공업시설이 언제 뱀파이어들에 의해 파괴되어 위협이 될지 알 수 없네. 당신이라면 그곳의 상황을 살펴봐 주실 수 있으리라 생각하네만. 실프의 불안정한 힘이 안 좋은 영향을 줄 수 있으니 실프의 힘은 잠시 봉인하는 것이 좋을 걸세.</Script>	\t\t<Script sender="Sioram">Our shunned people have lived until now by leaning on the kindness of nature. But humans and vampires have never stopped poisoning our mother earth, and they still do. What is more, there is no telling when the humans' industrial facility near our hidden home might be destroyed by the vampires and become a threat. I believe you could look into the situation there for us. The Sylph's unstable power could have a bad effect, so it would be best to seal away the Sylph's power for a while.</Script>
\t\t<CompleteMessage sender="시오람" target="656">아직까지는 큰 위협요소가 없다는 것은 다행스러운 일이군. 하지만 파괴적인 뱀파이어들이 그곳에 계속 출몰한다는 소식은 커다란 근심이 아닐 수 없지. 좀더 주의를 기울여야 할것이네.</CompleteMessage>	\t\t<CompleteMessage sender="Sioram" target="656">It is a relief that there is no great threat as yet. But news that destructive vampires keep appearing there cannot help but trouble me deeply. We must watch it more closely.</CompleteMessage>
\t\t\t<TouchWayPoint zoneid="32" x="15" y="185" type="673" dir="2" index="1">드로베타NW(15,185) 정찰</TouchWayPoint>	\t\t\t<TouchWayPoint zoneid="32" x="15" y="185" type="673" dir="2" index="1">Scout Drobeta NW (15,185)</TouchWayPoint>
\t\t<FailMessage sender="시오람" target="656">아… 당신의 정신에서 흐트러짐이 느껴지는군. 그 상태라면 이번 일은 처리가 곤란할 것 같네. 자신을 더 다스릴 줄 아는 것이 필요하다는 걸 앞으로는 잊지 말도록 하게. 자신을 다스리려면 자신을 알아야 하겠지… </FailMessage>	\t\t<FailMessage sender="Sioram" target="656">Ah... I sense disorder in your spirit. In that state, this task will be difficult to handle. From now on, do not forget that you must learn to master yourself. And to master yourself, you must first know yourself... </FailMessage>
\t\t\t<Killed num="1" index="1">수행 중 사망해서는 안 된다.</Killed>	\t\t\t<Killed num="1" index="1">Do not die during the task.</Killed>
\t\t\t<RideMotorcycle index="2">실프 사용 금지</RideMotorcycle>	\t\t\t<RideMotorcycle index="2">The Sylph is forbidden</RideMotorcycle>
\t\t<Title>또 다른 동료</Title>	\t\t<Title>Another Companion</Title>
\t\t<Script sender="마네스쿠">더럽혀진 영혼을 가진 외부의 침입자들과는 달리 자연에 순응하는 생명들은 우리에게 힘을 빌려줄 것입니다. 불행히도 침입자들에 의해 그 수가 줄긴 했지만 아직까지도 살아남은 야생의 들개들이 조력자들을 기다리고 있습니다. 그들이 먹이감을 찾는 시간을 줄여준다면 그 시간동안 충실히 당신을 도울 것입니다.</Script>	\t\t<Script sender="Manescu">Unlike the outside invaders with their tainted souls, the living things that live in harmony with nature will lend us their strength. Sadly, the invaders have thinned their numbers, but the wild dogs that survive are still waiting for helpers. If you spare them the time they spend hunting for food, they will faithfully help you in that time.</Script>
\t\t<CompleteMessage sender="마네스쿠" target="655">그들 역시 자연에 순응하는 생명입니다. 당신은 조력자로서 그들의 능력을 키워주며 공존해야 할 것입니다. 당신을 따르는 존재라면 그 역시 카리사스님의 가호를 받을 것입니다.</CompleteMessage>	\t\t<CompleteMessage sender="Manescu" target="655">They too are living things in harmony with nature. As their helper, you must nurture their abilities and live alongside them. Whatever follows you will also receive Lady Carissas' protection.</CompleteMessage>
\t\t<FailMessage sender="마네스쿠" target="655">자연은 억지로 다스려지는 것이 아닙니다. 힘으로 모든 것을 얻고자 한다면 뱀파이어와 다를 것이 없겠죠. 우리에게 있어서 자연과 친해지는 것은 무엇보다 중요한 일입니다. 이번에는 실패했지만 서서히 나아지는 모습을 보여주시기 바랍니다.</FailMessage>	\t\t<FailMessage sender="Manescu" target="655">Nature is not something to be ruled by force. If you seek to take everything by strength, you are no different from the vampires. For us, growing close to nature matters more than anything. You failed this time, but I hope to see you improve little by little.</FailMessage>
-- Input  : 이거는 처음에 초기화를 위한거다.	-- Input  : this one is for initialization at the start.
-- Output : 없당	-- Output : none
-- 이거 사용하기 전에 xmasEventCommon.lua를 load해야 한다.	-- Load xmasEventCommon.lua before using this.
-- 이거 사용하기 전에 xmasEventCommon.lua를 실행해야 한다.	-- Run xmasEventCommon.lua before using this.
-- 이거 사용하기 전에 premiumEventItemSlayer.lua를 load해야 한다.	-- Load premiumEventItemSlayer.lua before using this.
-- 이거 사용하기 전에 premiumEventItemVampire.lua를 실행해야 한다.	-- Run premiumEventItemVampire.lua before using this.
\t-- 오토바이이면.. 	\t-- If on a motorcycle...
